cohort_month,cohort_patients,months_since_signup,active_patients,retention_pct
2025-11,52,8,36,69.2
2025-11,52,9,34,65.4
2025-12,55,0,39,70.9
2025-12,55,1,44,80.0
2025-12,55,2,39,70.9
2025-12,55,3,40,72.7
2025-12,55,4,43,78.2
2025-12,55,5,42,76.4
2025-12,55,6,38,69.1
2025-12,55,7,37,67.3
2025-12,55,8,35,63.6
2026-01,48,0,39,81.3
2026-01,48,1,37,77.1
2026-01,48,2,36,75.0
2026-01,48,3,35,72.9
2026-01,48,4,33,68.8
2026-01,48,5,36,75.0
2026-01,48,6,31,64.6
2026-01,48,7,29,60.4
2026-02,29,0,22,75.9
2026-02,29,1,20,69.0
2026-02,29,2,22,75.9
2026-02,29,3,22,75.9
2026-02,29,4,22,75.9
2026-02,29,5,22,75.9
2026-02,29,6,21,72.4
2026-03,42,0,32,76.2
2026-03,42,1,30,71.4
2026-03,42,2,35,83.3
2026-03,42,3,35,83.3
2026-03,42,4,28,66.7
2026-03,42,5,26,61.9
2026-04,31,0,22,71.0
2026-04,31,1,26,83.9
2026-04,31,2,23,74.2
2026-04,31,3,20,64.5
2026-04,31,4,20,64.5
2026-05,19,0,15,78.9
2026-05,19,1,14,73.7
2026-05,19,2,11,57.9
2026-05,19,3,10,52.6
2026-06,12,0,10,83.3
2026-06,12,1,8,66.7
2026-06,12,2,10,83.3
2026-07,3,0,2,66.7
2026-07,3,1,2,66.7
2026-08,2,0,1,50.0
