year_month,department_name,total_encounters,in_person_visits,telehealth_visits,telehealth_adoption_pct,no_shows,no_show_rate_pct
2024-08,Pediatrics,137,55,37,40.2,4,7.3
2024-08,Primary Care,232,100,55,35.5,13,13.0
2024-09,Behavioral Health,100,51,22,30.1,5,9.8
2024-09,Cardiology,132,59,26,30.6,5,8.5
2024-09,Endocrinology,64,29,13,31.0,3,10.3
2024-09,Oncology,54,34,8,19.0,6,17.6
2024-09,Pediatrics,148,79,35,30.7,7,8.9
2024-09,Primary Care,266,122,60,33.0,20,16.4
2024-10,Behavioral Health,102,47,24,33.8,5,10.6
2024-10,Cardiology,140,74,36,32.7,7,9.5
2024-10,Endocrinology,107,49,30,38.0,4,8.2
2024-10,Oncology,63,21,21,50.0,2,9.5
2024-10,Pediatrics,156,63,37,37.0,9,14.3
2024-10,Primary Care,304,135,70,34.1,16,11.9
2024-11,Behavioral Health,147,62,34,35.4,9,14.5
2024-11,Cardiology,155,79,28,26.2,7,8.9
2024-11,Endocrinology,98,50,22,30.6,8,16.0
2024-11,Oncology,77,39,15,27.8,4,10.3
2024-11,Pediatrics,166,66,48,42.1,7,10.6
2024-11,Primary Care,325,147,77,34.4,17,11.6
2024-12,Behavioral Health,138,61,26,29.9,6,9.8
2024-12,Cardiology,144,62,34,35.4,3,4.8
2024-12,Endocrinology,104,53,23,30.3,2,3.8
2024-12,Oncology,68,39,14,26.4,3,7.7
2024-12,Pediatrics,185,81,45,35.7,9,11.1
2024-12,Primary Care,348,143,85,37.3,16,11.2
2025-01,Behavioral Health,154,67,26,28.0,6,9.0
2025-01,Cardiology,192,86,51,37.2,11,12.8
2025-01,Endocrinology,116,43,30,41.1,5,11.6
2025-01,Oncology,98,53,18,25.4,8,15.1
2025-01,Pediatrics,221,98,65,39.9,10,10.2
2025-01,Primary Care,353,158,84,34.7,13,8.2
2025-02,Behavioral Health,165,77,34,30.6,5,6.5
2025-02,Cardiology,159,78,37,32.2,3,3.8
2025-02,Endocrinology,106,49,32,39.5,8,16.3
2025-02,Oncology,106,54,22,28.9,5,9.3
2025-02,Pediatrics,177,77,40,34.2,7,9.1
2025-02,Primary Care,385,185,93,33.5,21,11.4
2025-03,Behavioral Health,180,87,46,34.6,7,8.0
2025-03,Cardiology,234,124,44,26.2,11,8.9
2025-03,Endocrinology,107,52,26,33.3,4,7.7
2025-03,Oncology,92,45,21,31.8,5,11.1
2025-03,Pediatrics,245,116,56,32.6,17,14.7
2025-03,Primary Care,435,209,88,29.6,27,12.9
2025-04,Behavioral Health,168,79,42,34.7,5,6.3
2025-04,Cardiology,241,117,56,32.4,9,7.7
2025-04,Endocrinology,121,48,32,40.0,6,12.5
2025-04,Oncology,106,45,32,41.6,3,6.7
2025-04,Pediatrics,230,100,64,39.0,7,7.0
2025-04,Primary Care,475,230,99,30.1,25,10.9
2025-05,Behavioral Health,199,82,52,38.8,9,11.0
2025-05,Cardiology,222,102,56,35.4,5,4.9
2025-05,Endocrinology,174,77,45,36.9,8,10.4
2025-05,Oncology,122,50,38,43.2,2,4.0
2025-05,Pediatrics,288,143,76,34.7,17,11.9
2025-05,Primary Care,456,210,108,34.0,22,10.5
2025-06,Behavioral Health,211,91,49,35.0,5,5.5
2025-06,Cardiology,245,114,58,33.7,9,7.9
2025-06,Endocrinology,126,50,31,38.3,4,8.0
2025-06,Oncology,132,71,30,29.7,8,11.3
2025-06,Pediatrics,269,123,71,36.6,13,10.6
2025-06,Primary Care,508,241,119,33.1,20,8.3
2025-07,Behavioral Health,240,108,60,35.7,11,10.2
2025-07,Cardiology,260,125,66,34.6,13,10.4
2025-07,Endocrinology,159,72,46,39.0,5,6.9
2025-07,Oncology,146,68,36,34.6,11,16.2
2025-07,Pediatrics,298,152,64,29.6,15,9.9
2025-07,Primary Care,576,261,148,36.2,27,10.3
2025-08,Behavioral Health,292,144,72,33.3,20,13.9
2025-08,Cardiology,283,126,72,36.4,16,12.7
2025-08,Endocrinology,172,87,42,32.6,7,8.0
2025-08,Oncology,129,66,29,30.5,7,10.6
2025-08,Pediatrics,317,142,88,38.3,20,14.1
2025-08,Primary Care,556,262,154,37.0,25,9.5
2025-09,Behavioral Health,266,115,74,39.2,12,10.4
2025-09,Cardiology,280,146,64,30.5,15,10.3
2025-09,Endocrinology,171,79,40,33.6,6,7.6
2025-09,Oncology,137,64,27,29.7,4,6.3
2025-09,Pediatrics,303,142,65,31.4,11,7.7
2025-09,Primary Care,606,266,152,36.4,24,9.0
2025-10,Behavioral Health,282,119,67,36.0,16,13.4
2025-10,Cardiology,309,147,61,29.3,9,6.1
2025-10,Endocrinology,165,86,33,27.7,10,11.6
2025-10,Oncology,152,69,32,31.7,9,13.0
2025-10,Pediatrics,337,145,68,31.9,25,17.2
2025-10,Primary Care,643,302,140,31.7,29,9.6
2025-11,Behavioral Health,294,129,77,37.4,12,9.3
2025-11,Cardiology,292,144,65,31.1,15,10.4
2025-11,Endocrinology,186,77,47,37.9,6,7.8
2025-11,Oncology,158,68,30,30.6,7,10.3
2025-11,Pediatrics,355,151,80,34.6,14,9.3
2025-11,Primary Care,670,298,165,35.6,25,8.4
2025-12,Behavioral Health,262,106,71,40.1,9,8.5
2025-12,Cardiology,341,164,71,30.2,17,10.4
2025-12,Endocrinology,218,97,39,28.7,9,9.3
2025-12,Oncology,174,72,47,39.5,5,6.9
2025-12,Pediatrics,378,165,86,34.3,14,8.5
2025-12,Primary Care,706,313,172,35.5,23,7.3
2026-01,Behavioral Health,306,118,94,44.3,11,9.3
2026-01,Cardiology,313,148,56,27.5,12,8.1
2026-01,Endocrinology,229,108,61,36.1,7,6.5
2026-01,Oncology,146,73,33,31.1,10,13.7
2026-01,Pediatrics,366,176,88,33.3,12,6.8
2026-01,Primary Care,707,316,170,35.0,23,7.3
2026-02,Behavioral Health,327,163,85,34.3,20,12.3
2026-02,Cardiology,307,139,70,33.5,19,13.7
2026-02,Endocrinology,213,90,46,33.8,6,6.7
2026-02,Oncology,155,80,31,27.9,7,8.8
2026-02,Pediatrics,358,160,83,34.2,16,10.0
2026-02,Primary Care,661,315,159,33.5,30,9.5
2026-03,Behavioral Health,320,133,90,40.4,19,14.3
2026-03,Cardiology,321,135,83,38.1,9,6.7
2026-03,Endocrinology,231,119,59,33.1,8,6.7
2026-03,Oncology,173,77,48,38.4,10,13.0
2026-03,Pediatrics,414,195,102,34.3,20,10.3
2026-03,Primary Care,802,363,182,33.4,40,11.0
2026-04,Behavioral Health,314,148,72,32.7,13,8.8
2026-04,Cardiology,347,154,89,36.6,16,10.4
2026-04,Endocrinology,266,112,69,38.1,11,9.8
2026-04,Oncology,197,96,45,31.9,4,4.2
2026-04,Pediatrics,393,180,97,35.0,17,9.4
2026-04,Primary Care,813,366,196,34.9,27,7.4
2026-05,Behavioral Health,382,177,79,30.9,17,9.6
2026-05,Cardiology,418,198,103,34.2,19,9.6
2026-05,Endocrinology,292,135,67,33.2,7,5.2
2026-05,Oncology,201,81,50,38.2,10,12.3
2026-05,Pediatrics,441,186,113,37.8,13,7.0
2026-05,Primary Care,793,359,199,35.7,26,7.2
2026-06,Behavioral Health,316,147,84,36.4,19,12.9
2026-06,Cardiology,374,171,86,33.5,18,10.5
2026-06,Endocrinology,270,123,61,33.2,13,10.6
2026-06,Oncology,210,102,56,35.4,11,10.8
2026-06,Pediatrics,365,173,78,31.1,10,5.8
2026-06,Primary Care,859,398,182,31.4,38,9.5
2026-07,Behavioral Health,357,158,89,36.0,19,12.0
2026-07,Cardiology,363,160,89,35.7,13,8.1
2026-07,Endocrinology,208,97,43,30.7,7,7.2
2026-07,Oncology,184,92,43,31.9,5,5.4
2026-07,Pediatrics,407,202,95,32.0,30,14.9
2026-07,Primary Care,834,378,202,34.8,42,11.1
2026-08,Behavioral Health,67,31,17,35.4,7,22.6
2026-08,Cardiology,82,30,25,45.5,5,16.7
2026-08,Endocrinology,68,28,14,33.3,0,0.0
2026-08,Oncology,42,22,9,29.0,1,4.5
2026-08,Pediatrics,113,56,25,30.9,1,1.8
2026-08,Primary Care,197,86,49,36.3,12,14.0
